Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://docbook.org/ns/docbook;79.0;175.0;132.0;1.0;4.0;78.2;1.0126582;1.0126582;0.0032467532;
http://www.kile.de/zapfmaster2000/1.0;22.0;29.0;56.0;1.0;2.0;22.0;1.4090909;57.409092;0.24778761;
http://www.correttouml.org/grammars/StateMachineActions;7.0;9.0;7.0;0.0;4.0;5.4;1.0;1.0;0.0;
http:///org/eclipse/gmf/examples/library.ecore;5.0;7.0;5.0;0.0;2.0;3.8;1.0;8.0;0.0;
http://csv.me12.big.tuwien.ac.at/1.0;10.0;6.0;10.0;2.0;2.0;6.0;1.8;3.8;0.46666667;
http://www.obeonetwork.org/dsl/environment/2.0.0;28.0;43.0;19.0;4.0;2.0;19.2;2.392857;51.392857;0.7596899;
http://dp/1.0;5.0;10.0;7.0;0.0;0.0;4.4;1.0;27.0;0.0;
http://www.omg.com/di/1.0.0;7.0;12.0;14.0;1.0;2.0;7.2;1.4285715;1.4285715;0.44680852;
http://www.soluvas.org/schema/web.olark/1.0;1.0;0.0;3.0;0.0;0.0;0.8;1.0;1.0;0.0;
http://process/1.0;5.0;4.0;3.0;2.0;0.0;2.8;2.2;13.2;0.6666667;
http://rhs;3.0;3.0;7.0;0.0;2.0;3.0;1.0;4.0;0.0;
http://metawebmodel/1.0;20.0;23.0;21.0;1.0;9.0;14.8;1.05;7.05;0.022222223;
http://www.eclipse.org/datatools/connectivity/oda/design;57.0;73.0;80.0;2.0;7.0;43.8;1.1403508;1.1403508;0.049689442;
platform:/resource/junitAssert/model/Assert.ecore;13.0;9.0;8.0;1.0;3.0;6.8;1.6153846;1.6153846;0.0;
http://gts.inf.um.es/modernization/cst;4.0;1.0;4.0;2.0;1.0;2.4;2.0;2.0;0.44444445;
http://www.w3.org/XML/1998/namespace;1.0;2.0;5.0;0.0;1.0;1.8;1.0;1.0;0.0;
http:///org.eclipse.emf.test.models/dbitem;4.0;7.0;3.0;0.0;1.0;3.0;1.0;1.0;0.0;
http://www.xtext.org/example/mydsl/ServerGeneratorLanguage;17.0;7.0;4.0;1.0;2.0;6.2;1.6470588;3.647059;0.5;
http://org.emftext/notes;11.0;5.0;3.0;2.0;1.0;4.4;2.090909;3.090909;0.46666667;
http://www.certware.net/hazard;7.0;7.0;24.0;0.0;2.0;8.0;1.0;3.0;0.0;
http://directives/1.0;23.0;4.0;10.0;4.0;1.0;8.4;3.0869565;3.0869565;0.57575756;
http://www.emftext.org/language/martinfowlerdsl;6.0;8.0;4.0;1.0;2.0;4.2;1.3333334;10.333334;0.25;
urn:org.ops4j.coro:score;13.0;14.0;19.0;0.0;2.0;9.6;1.0;17.0;0.0;
http://www.obeo.fr/training/relational/1.0;7.0;4.0;7.0;1.0;3.0;4.4;1.4285715;2.4285715;0.21428572;
http://furniture/1.0;8.0;3.0;14.0;1.0;2.0;5.6;1.5;2.5;0.41379312;
AUIML;385.0;494.0;61.0;2.0;4.0;189.2;1.7376623;237.73766;0.16541353;
http://www.eclipse.org/xsd/2002/XSD;57.0;125.0;98.0;8.0;2.0;58.0;4.9298244;89.929825;0.7034575;
http://schema.omg.org/spec/KDM/1.2;300.0;256.0;59.0;8.0;6.0;125.8;5.6433334;182.64334;0.872211;
org.eclipse.jwt;44.0;38.0;23.0;6.0;4.0;23.0;4.318182;47.318184;0.7404255;
http://www.medevit.at/menus/;2.0;2.0;5.0;0.0;1.0;2.0;1.0;2.0;0.0;
http://www.bluexml.com/rwm/documentation/1.0/;11.0;9.0;5.0;2.0;2.0;5.8;1.6363636;2.6363635;0.125;
http://www.xtext.org/example/p4dsl/P4Dsl;11.0;2.0;1.0;3.0;1.0;3.6;3.090909;3.090909;0.78571427;
http:///org/eclipse/tptp/platform/analysis/util.ecore;27.0;10.0;15.0;3.0;2.0;11.4;2.2592592;2.2592592;0.5762712;
http://www.imag.fr/Unql;4.0;3.0;9.0;0.0;1.0;3.4;1.0;1.0;0.0;
http://miso.es/genericity/benchmarks/pub_tgt;6.0;4.0;8.0;0.0;3.0;4.2;1.0;1.0;0.0;
http:///org/eclipse/stem/analysis.ecore;5.0;0.0;5.0;1.0;0.0;2.2;1.4;1.4;0.0;
